,model,score,MSE,epoch,dataset
0,Multistep Predictor,0.1761603375527426,2.071599006652832,/mnt/fs2/locross/analysis/models/multistep_predictor/multistep_predictor_epoch14000,dataset_5_25_23.pkl
1,RSSM Discrete,0.4124472573839662,2.209904432296753,/mnt/fs2/locross/analysis/models/rssm_ds2/rssm_ds2_epoch5500,dataset_5_25_23.pkl
2,RSSM Continuous,0.0527426160337552,inf,/mnt/fs2/locross/analysis/models/rssm_cont_ds2/rssm_cont_ds2_epoch1000,dataset_5_25_23.pkl
3,Multistep Predictor DS3,0.0049099836333878,2.5033535957336426,/mnt/fs2/locross/analysis/models/mp_ds3/mp_ds3_epoch1400,data_5_31_23.pkl
4,Multistep Predictor DS3,0.0957446808510638,2.1988141536712646,/mnt/fs2/locross/analysis/models/mp_ds3/mp_ds3_epoch2400,data_5_31_23.pkl
5,Multistep Delta DS3,0.0024549918166939,2.137028217315674,/mnt/fs2/locross/analysis/models/multistep_delta_ds3/multistep_delta_ds3_epoch3600,data_5_31_23.pkl
6,Multistep Delta,0.4481327800829875,3.306190252304077,/mnt/fs2/locross/analysis/models/multistep_delta_h1024_l2_mlp1024_l2/multistep_delta_h1024_l2_mlp1024_l2_epoch421000,train_test_splits_3D_dataset.pkl
7,Multistep Predictor,0.3360995850622407,3.7660412788391113,/mnt/fs2/locross/analysis/models/multistep_predictor_ds1/multistep_predictor_ds1_epoch127000,train_test_splits_3D_dataset.pkl
8,RSSM Discrete DS1,0.7136929460580913,2.1622567176818848,/mnt/fs2/locross/analysis/models/rssm_disc_bi50_2/rssm_disc_bi50_2_epoch8500,train_test_splits_3D_dataset.pkl
9,RSSM Continuous DS1,0.1120331950207468,,/mnt/fs2/locross/analysis/models/rssm_cont_h1024_l2_mlp1024/rssm_cont_h1024_l2_mlp1024_epoch3500,train_test_splits_3D_dataset.pkl
10,Multistep Predictor DS3,0.1808510638297872,2.055659294128418,/mnt/fs2/locross/analysis/models/mp_ds3/mp_ds3_epoch3200,data_5_31_23.pkl
11,Multistep Predictor DS3,0.1808510638297872,2.055659294128418,/mnt/fs2/locross/analysis/models/mp_ds3/mp_ds3_epoch3200,data_5_31_23.pkl
12,Multistep Predictor Norm Velocity,0.0,0.0221959892660379,/mnt/fs2/locross/analysis/models/mp_norm_vel/mp_norm_vel_epoch3400,data_norm_velocity.pkl
13,Multistep Predictor DS3,0.3829787234042553,2.3980209827423096,/mnt/fs2/locross/analysis/models/mp_ds3/mp_ds3_epoch4200,data_5_31_23.pkl
14,Multistep Delta DS3,0.0065466448445171,2.286868095397949,/mnt/fs2/locross/analysis/models/multistep_delta_ds3/multistep_delta_ds3_epoch5600,data_5_31_23.pkl
15,RSSM Continuous,0.0270049099836333,3.526322364807129,/mnt/fs2/locross/analysis/models/rssm_cont_ds2/rssm_cont_ds2_epoch2600,data_5_31_23.pkl
16,RSSM Discrete DS2,0.4075286415711948,2.199857234954834,/mnt/fs2/locross/analysis/models/rssm_ds2/rssm_ds2_epoch7500,data_5_31_23.pkl
17,RSSM Discrete DS3,0.044189852700491,2.392019271850586,/mnt/fs2/locross/analysis/models/rssm_disc_ds3/rssm_disc_ds3_epoch4200,data_5_31_23.pkl
18,RSSM Continuous Replay Early,0.1415711947626841,5.669225692749023,/mnt/fs2/locross/analysis/models/rssm_cont_replay_early/rssm_cont_replay_early_epoch800,data_5_31_23.pkl
19,MP Replay Early,0.0572831423895253,2.493995428085327,/mnt/fs2/locross/analysis/models/mp_replay_early/mp_replay_early_epoch5000,data_5_31_23.pkl
20,Transformer WM Replay Early,0.0049099836333878,3.3123326301574707,/mnt/fs2/locross/analysis/models/transformer_wm_replay_early/transformer_wm_replay_early_epoch13600,data_5_31_23.pkl
21,MP Replay Early,0.1260229132569558,2.105642318725586,/ccn2/u/ziyxiang/swm_data_and_results/checkpoint/models/mp_replay_early/mp_replay_early_epoch1400,data_5_31_23.pkl
22,Transformer Iris Concat Pos Embd lr1e-4,0.2978723404255319,4.334659099578857,/ccn2/u/ziyxiang/swm_data_and_results/checkpoint/models/transformer_iris_concat_pos_embd_lr1e-4/transformer_iris_concat_pos_embd_lr1e-4_epoch25600,data_5_31_23.pkl
23,MP 4096 DS3,0.0392798690671031,2.356709241867065,/ccn2/u/ziyxiang/swm_data_and_results/checkpoint/models/mp_4096_ds3/mp_4096_ds3_epoch600,data_5_31_23.pkl
24,MD 4096 DS3,0.0,2.034997701644897,/ccn2/u/ziyxiang/swm_data_and_results/checkpoint/models/multistep_delta_ds3/multistep_delta_ds3_epoch800,data_5_31_23.pkl
25,Event Context World Model,0.0024549918166939,2.417630434036255,/data2/locross/analysis/models/event_context_world/mp_model_epoch4200,swm_data.pkl
26,RSSM Discrete DS3,0.3248772504091653,2.292362928390503,/data2/locross/analysis/models/rssm_disc_ds3/rssm_disc_ds3_epoch29999,swm_data.pkl
27,Multistep Predictor,0.1873977086743044,2.0192625522613525,6000,swm_data.pkl
28,Event Context World Model,0.0106382978723404,2.420804738998413,/data2/locross/analysis/models/event_context_world/mp_model_epoch5600,swm_data.pkl
29,Event Context World Model,0.4042553191489361,1.813272953033448,/data2/locross/analysis/models/event_context_world/mp_model_epoch6200,swm_data.pkl
30,Event Context World Model,0.3870703764320785,1.821455121040344,5400,swm_data.pkl
31,RSSM 1 Step Rollout,0.3584288052373158,2.411444902420044,/data2/locross/analysis/models/rssm_1step/rssm_1step_epoch10400,swm_data.pkl
32,RSSM 5 Step Rollout,0.2013093289689034,2.3391599655151367,/data2/locross/analysis/models/rssm_5step/rssm_5step_epoch9800,swm_data.pkl
33,RSSM 10 Step Rollout,0.23240589198036,2.398100137710572,/data2/locross/analysis/models/rssm_10step/rssm_10step_epoch9200,swm_data.pkl
34,RSSM 20 Step Rollout,0.1563011456628477,2.473283290863037,/data2/locross/analysis/models/rssm_20step/rssm_20step_epoch8200,swm_data.pkl
35,RSSM Discrete DS3,0.3150572831423895,2.273829460144043,/data2/locross/analysis/models/rssm_disc_ds3/rssm_disc_ds3_epoch29999,swm_data.pkl
36,MP-S1,0.0851063829787234,2.163022994995117,/data2/locross/analysis/models/mp_mlp_2048_lr3e-4_s1/mp_mlp_2048_lr3e-4_s1_epoch29999,swm_data.pkl
37,RSSM-S1,0.2438625204582651,2.1874940395355225,/data2/locross/analysis/models/rssm_disc_h_2048_lr3e-4_s1/rssm_disc_h_2048_lr3e-4_s1_epoch24200,swm_data.pkl
38,RSSM-Cont-S1,0.0016366612111292,,/data2/locross/analysis/models/rssm_cont_h_2048_lr1e-4_s1/rssm_cont_h_2048_lr1e-4_s1_epoch9000,swm_data.pkl
39,MP-S1,0.0261865793780687,2.2612075805664062,/data2/locross/analysis/models/md_mlp_2048_lr3e-4_s1/md_mlp_2048_lr3e-4_s1_epoch13800,swm_data.pkl
